key,en,ar,de,es,fr,ja,pl,pt,tr
"meta.title","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business","AI on Turbo - Advanced AI Solutions for Business"
"meta.description","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency.","Transform your business with cutting-edge AI solutions. We deliver intelligent automation, advanced analytics, and innovative AI technologies that drive growth and efficiency."
"hero.title","Your Trusted AI Partner","Your Trusted AI Partner","Your Trusted AI Partner","Your Trusted AI Partner","Your Trusted AI Partner","Your Trusted AI Partner","Your Trusted AI Partner","Your Trusted AI Partner","Your Trusted AI Partner"
"hero.subtitle","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017.","Expert AI Consultancy Since 2017."
"hero.description","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers.","Every platform business will be transformed by AI in the next 5 years. Businesses that keep control over their AI capabilities will quickly gain a competitive edge over those that subscribe to and are dependent on off-the-shelf AI providers."
"hero.cta.consultation","Book AI Consultation","Book AI Consultation","Book AI Consultation","Book AI Consultation","Book AI Consultation","Book AI Consultation","Book AI Consultation","Book AI Consultation","Book AI Consultation"
"hero.cta.contact","Contact Us","Contact Us","Contact Us","Contact Us","Contact Us","Contact Us","Contact Us","Contact Us","Contact Us"
"featured.title","As featured in","As featured in","As featured in","As featured in","As featured in","As featured in","As featured in","As featured in","As featured in"
"platform.title","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform","Your In-House Artificial Intelligence Platform"
"platform.description","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows.","Build custom AI solutions that integrate seamlessly with your existing systems and workflows."
"services.automation.title","Intelligent Automation","Intelligent Automation","Intelligent Automation","Intelligent Automation","Intelligent Automation","Intelligent Automation","Intelligent Automation","Intelligent Automation","Intelligent Automation"
"services.automation.description","Automate complex workflows and decision-making processes with AI-powered systems.","Automate complex workflows and decision-making processes with AI-powered systems.","Automate complex workflows and decision-making processes with AI-powered systems.","Automate complex workflows and decision-making processes with AI-powered systems.","Automate complex workflows and decision-making processes with AI-powered systems.","Automate complex workflows and decision-making processes with AI-powered systems.","Automate complex workflows and decision-making processes with AI-powered systems.","Automate complex workflows and decision-making processes with AI-powered systems.","Automate complex workflows and decision-making processes with AI-powered systems."
"services.analytics.title","Advanced Analytics","Advanced Analytics","Advanced Analytics","Advanced Analytics","Advanced Analytics","Advanced Analytics","Advanced Analytics","Advanced Analytics","Advanced Analytics"
"services.analytics.description","Extract insights from your data with machine learning and predictive analytics.","Extract insights from your data with machine learning and predictive analytics.","Extract insights from your data with machine learning and predictive analytics.","Extract insights from your data with machine learning and predictive analytics.","Extract insights from your data with machine learning and predictive analytics.","Extract insights from your data with machine learning and predictive analytics.","Extract insights from your data with machine learning and predictive analytics.","Extract insights from your data with machine learning and predictive analytics.","Extract insights from your data with machine learning and predictive analytics."
"services.consulting.title","AI Strategy Consulting","AI Strategy Consulting","AI Strategy Consulting","AI Strategy Consulting","AI Strategy Consulting","AI Strategy Consulting","AI Strategy Consulting","AI Strategy Consulting","AI Strategy Consulting"
"services.consulting.description","Develop comprehensive AI strategies aligned with your business objectives.","Develop comprehensive AI strategies aligned with your business objectives.","Develop comprehensive AI strategies aligned with your business objectives.","Develop comprehensive AI strategies aligned with your business objectives.","Develop comprehensive AI strategies aligned with your business objectives.","Develop comprehensive AI strategies aligned with your business objectives.","Develop comprehensive AI strategies aligned with your business objectives.","Develop comprehensive AI strategies aligned with your business objectives.","Develop comprehensive AI strategies aligned with your business objectives."
"why.title","Why Choose AI on Turbo","Why Choose AI on Turbo","Why Choose AI on Turbo","Why Choose AI on Turbo","Why Choose AI on Turbo","Why Choose AI on Turbo","Why Choose AI on Turbo","Why Choose AI on Turbo","Why Choose AI on Turbo"
"why.description","We combine deep technical expertise with business acumen to deliver AI solutions that drive real results.","We combine deep technical expertise with business acumen to deliver AI solutions that drive real results.","We combine deep technical expertise with business acumen to deliver AI solutions that drive real results.","We combine deep technical expertise with business acumen to deliver AI solutions that drive real results.","We combine deep technical expertise with business acumen to deliver AI solutions that drive real results.","We combine deep technical expertise with business acumen to deliver AI solutions that drive real results.","We combine deep technical expertise with business acumen to deliver AI solutions that drive real results.","We combine deep technical expertise with business acumen to deliver AI solutions that drive real results.","We combine deep technical expertise with business acumen to deliver AI solutions that drive real results."
"why.expertise.title","Proven Expertise","Proven Expertise","Proven Expertise","Proven Expertise","Proven Expertise","Proven Expertise","Proven Expertise","Proven Expertise","Proven Expertise"
"why.expertise.description","Over 7 years of experience in AI and machine learning across various industries.","Over 7 years of experience in AI and machine learning across various industries.","Over 7 years of experience in AI and machine learning across various industries.","Over 7 years of experience in AI and machine learning across various industries.","Over 7 years of experience in AI and machine learning across various industries.","Over 7 years of experience in AI and machine learning across various industries.","Over 7 years of experience in AI and machine learning across various industries.","Over 7 years of experience in AI and machine learning across various industries.","Over 7 years of experience in AI and machine learning across various industries."
"why.custom.title","Custom Solutions","Custom Solutions","Custom Solutions","Custom Solutions","Custom Solutions","Custom Solutions","Custom Solutions","Custom Solutions","Custom Solutions"
"why.custom.description","Tailored AI solutions designed specifically for your business needs and challenges.","Tailored AI solutions designed specifically for your business needs and challenges.","Tailored AI solutions designed specifically for your business needs and challenges.","Tailored AI solutions designed specifically for your business needs and challenges.","Tailored AI solutions designed specifically for your business needs and challenges.","Tailored AI solutions designed specifically for your business needs and challenges.","Tailored AI solutions designed specifically for your business needs and challenges.","Tailored AI solutions designed specifically for your business needs and challenges.","Tailored AI solutions designed specifically for your business needs and challenges."
"why.support.title","Ongoing Support","Ongoing Support","Ongoing Support","Ongoing Support","Ongoing Support","Ongoing Support","Ongoing Support","Ongoing Support","Ongoing Support"
"why.support.description","Comprehensive support and maintenance to ensure your AI systems perform optimally.","Comprehensive support and maintenance to ensure your AI systems perform optimally.","Comprehensive support and maintenance to ensure your AI systems perform optimally.","Comprehensive support and maintenance to ensure your AI systems perform optimally.","Comprehensive support and maintenance to ensure your AI systems perform optimally.","Comprehensive support and maintenance to ensure your AI systems perform optimally.","Comprehensive support and maintenance to ensure your AI systems perform optimally.","Comprehensive support and maintenance to ensure your AI systems perform optimally.","Comprehensive support and maintenance to ensure your AI systems perform optimally."
"stats.projects","Projects Completed","Projects Completed","Projects Completed","Projects Completed","Projects Completed","Projects Completed","Projects Completed","Projects Completed","Projects Completed"
"stats.satisfaction","Client Satisfaction","Client Satisfaction","Client Satisfaction","Client Satisfaction","Client Satisfaction","Client Satisfaction","Client Satisfaction","Client Satisfaction","Client Satisfaction"
"cta.title","Ready to Transform Your Business with AI?","Ready to Transform Your Business with AI?","Ready to Transform Your Business with AI?","Ready to Transform Your Business with AI?","Ready to Transform Your Business with AI?","Ready to Transform Your Business with AI?","Ready to Transform Your Business with AI?","Ready to Transform Your Business with AI?","Ready to Transform Your Business with AI?"
"cta.description","Let us help you unlock the full potential of artificial intelligence for your organization.","Let us help you unlock the full potential of artificial intelligence for your organization.","Let us help you unlock the full potential of artificial intelligence for your organization.","Let us help you unlock the full potential of artificial intelligence for your organization.","Let us help you unlock the full potential of artificial intelligence for your organization.","Let us help you unlock the full potential of artificial intelligence for your organization.","Let us help you unlock the full potential of artificial intelligence for your organization.","Let us help you unlock the full potential of artificial intelligence for your organization.","Let us help you unlock the full potential of artificial intelligence for your organization."
"cta.contact","Get Started Today","Get Started Today","Get Started Today","Get Started Today","Get Started Today","Get Started Today","Get Started Today","Get Started Today","Get Started Today"
"cta.learn","Learn More","Learn More","Learn More","Learn More","Learn More","Learn More","Learn More","Learn More","Learn More"
"nav.home","Home","Home","Home","Home","Home","Home","Home","Home","Home"
"nav.services","Services","Services","Services","Services","Services","Services","Services","Services","Services"
"nav.products","Products","Products","Products","Products","Products","Products","Products","Products","Products"
"nav.solutions","Solutions","Solutions","Solutions","Solutions","Solutions","Solutions","Solutions","Solutions","Solutions"
"nav.about","About","About","About","About","About","About","About","About","About"
"nav.contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact"
"nav.caseStudies","Case Studies","Case Studies","Case Studies","Case Studies","Case Studies","Case Studies","Case Studies","Case Studies","Case Studies"
"footer.company","Company","Company","Company","Company","Company","Company","Company","Company","Company"
"footer.services","Services","Services","Services","Services","Services","Services","Services","Services","Services"
"footer.products","Products","Products","Products","Products","Products","Products","Products","Products","Products"
"footer.solutions","Solutions","Solutions","Solutions","Solutions","Solutions","Solutions","Solutions","Solutions","Solutions"
"footer.caseStudies","Case Studies","Case Studies","Case Studies","Case Studies","Case Studies","Case Studies","Case Studies","Case Studies","Case Studies"
"footer.industries","Industries","Industries","Industries","Industries","Industries","Industries","Industries","Industries","Industries"
"footer.viewAll","View All {{category}} →","View All {{category}} →","View All {{category}} →","View All {{category}} →","View All {{category}} →","View All {{category}} →","View All {{category}} →","View All {{category}} →","View All {{category}} →"
"footer.privacyPolicy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy"
"footer.termsOfService","Terms of Service","Terms of Service","Terms of Service","Terms of Service","Terms of Service","Terms of Service","Terms of Service","Terms of Service","Terms of Service"
"footer.contact","Contact Us","Contact Us","Contact Us","Contact Us","Contact Us","Contact Us","Contact Us","Contact Us","Contact Us"
"footer.copyright","© 2024 AI on Turbo. All rights reserved.","© 2024 AI on Turbo. All rights reserved.","© 2024 AI on Turbo. All rights reserved.","© 2024 AI on Turbo. All rights reserved.","© 2024 AI on Turbo. All rights reserved.","© 2024 AI on Turbo. All rights reserved.","© 2024 AI on Turbo. All rights reserved.","© 2024 AI on Turbo. All rights reserved.","© 2024 AI on Turbo. All rights reserved."